town,pop
"Andrew, IL",1
"Andrews, IN",1129
"Andrews, NC",1798
"Andrews, SC",2896
"Andrews, TX",13574
"Andrews Afb, MD",1
"Aneta, ND",207
"Aneth, UT",1
"Angela, MT",1
"Angelica, NY",831
"Angels Camp, CA",1
"Angelus Oaks, CA",1
"Angie, LA",242
"Angier, NC",5096
"Angle Inlet, MN",1
"Angleton, TX",19491
"Angola, IN",8591
"Angola, LA",1
"Angola, NY",2113
"Angoon, AK",444
"Angora, MN",1
"Angora, NE",1
"Anguilla, MS",661
"Angus, MN",1
"Angwin, CA",1
"Animas, NM",1
"Anita, IA",943
"Anita, PA",1
"Aniwa, WI",245
"Ankeny, IA",58627
"Ann Arbor, MI",120782
"Anna, IL",4269
"Anna, OH",1532
"Anna, TX",11940
"Annada, MO",29
"Annandale, MN",3315
"Annandale, NJ",1
"Annandale, VA",1
"Annapolis, CA",1
"Annapolis, IL",1
"Annapolis, MD",39418
"Annapolis, MO",342
"Annapolis Juncti, MD",1
"Annawan, IL",855
"Anniston, AL",22112
"Annona, TX",297
"Annville, PA",1
"Ansley, NE",424
"Anson, ME",1
"Anson, TX",2329
"Ansonia, CT",18732
"Ansonia, OH",1133
"Ansted, WV",1374
"Antelope, KS",1
"Antelope, MT",1
"Antelope, OR",48
"Anthon, IA",566
"Anthony, FL",1
"Anthony, KS",2178
"Anthony, TX",5584
"Anthony, WV",1
"Antigo, WI",7864
"Antimony, UT",119
"Antioch, CA",110898
"Antioch, IL",14274
"Antioch, OH",85
"Antioch, TN",1
"Antler, ND",27
"Antlers, OK",2325
"Antoine, AR",112
"Anton, CO",1
"Anton, TX",1115
"Anton Chico, NM",1
"Antonia, MO",1
"Antonino, KS",1
"Antonito, CO",756
"Antrim, NH",1
"Antwerp, NY",663
"Antwerp, OH",1681
"Anutt, MO",1
"Anvik, AK",86
"Anza, CA",1
"Apache, OK",1441
"Apache Junction, AZ",39954
"Apalachicola, FL",2328
"Apalachin, NY",1
"Apex, NC",47349
"Apison, TN",1
"Aplington, IA",1068
"Apollo, PA",1572
"Apollo Beach, FL",1
"Apopka, FL",49458
"Appam, ND",1
"Apple Creek, OH",1186
"Apple Grove, WV",1
"Apple River, IL",351
"Apple Springs, TX",1
"Apple Valley, CA",72553
"Apple Valley, MN",51957
"Appleby, TX",472
"Applegate, CA",1
"Applegate, MI",237
"Applegate, OR",1
"Appleton, MN",1350
"Appleton, NY",1
"Appleton, WA",1
"Appleton, WI",74370
"Appleton City, MO",1074
"Appling, GA",1
"Appomattox, VA",1769
"Aptos, CA",1
"Aquasco, MD",1
"Aquilla, TX",109
"Aquone, NC",1
"Arab, AL",8340
"Arab, MO",1
"Arabi, GA",562
"Arabi, LA",1
"Aragon, GA",1242
"Aragon, NM",1
"Aransas Pass, TX",8393
"Arapaho, OK",812
"Arapahoe, CO",1
"Arapahoe, NC",535
"Arapahoe, NE",997
"Arapahoe, WY",1
"Ararat, NC",1
"Ararat, VA",1
"Arbela, MO",42
"Arboles, CO",1
"Arbon, ID",1
"Arbovale, WV",1
"Arbuckle, CA",1
"Arbuckle, WV",1
"Arbyrd, MO",479
"Arcade, NY",1972
"Arcadia, CA",58523
"Arcadia, FL",7941
"Arcadia, IA",467
"Arcadia, IL",1
"Arcadia, IN",1653
"Arcadia, KS",311
"Arcadia, LA",2875
"Arcadia, MI",1
"Arcadia, MO",565
"Arcadia, NE",305
"Arcadia, OH",600
"Arcadia, OK",269
"Arcadia, TX",1
"Arcadia, WI",3057
"Archbold, OH",4335
"Archdale, NC",11631
"Archer, FL",1191
"Archer, IA",127
"Archer, NE",1
"Archie, MO",1210
"Arco, ID",849
"Arco, MN",73
"Arcola, IL",2864
"Arcola, MO",54
"Arcola, VA",1
"Arctic Village, AK",1
"Ardara, PA",1
"Arden, NC",1
"Ardmore, AL",1382
"Ardmore, PA",1
"Ardmore, TN",1216
"Ardoch, ND",66
"Ardsley, NY",4634
"Aredale, IA",73
"Arena, ND",1
"Arena, WI",820
"Arenzville, IL",385
"Argillite, KY",1
"Argo, IL",1
"Argo, KY",1
"Argonia, KS",482
"Argonne, IL",1
"Argos, IN",1647
"Argus, CA",1
"Argusville, ND",474
"Argyle, IA",1
"Argyle, MN",634
"Argyle, MO",161
"Argyle, NY",293
"Argyle, TX",4006
"Argyle, WI",839
"Ariel, WA",1
"Arimo, ID",363
"Arion, IA",106
"Ariton, AL",741
"Arizona Boys Ran, AZ",1
"Arjay, KY",1
"Arkadelphia, AR",10793
"Arkansas City, AR",323
"Arkansas City, KS",12063
"Arkansaw, WI",1
"Arkdale, WI",1
"Arkoma, OK",1925
"Arkport, NY",815
"Arkville, NY",1
"Arlee, MT",1
"Arleta, CA",1
"Arley, AL",350
"Arlington, AL",1
"Arlington, AZ",1
"Arlington, CO",1
"Arlington, GA",1380
"Arlington, IA",406
"Arlington, IL",185
"Arlington, IN",1
"Arlington, KS",450
"Arlington, KY",308
"Arlington, MA",1
"Arlington, MN",2158
"Arlington, NE",1273
"Arlington, NY",1
"Arlington, OH",1463
"Arlington, OR",581
"Arlington, SD",880
"Arlington, TN",11566
"Arlington, TX",392772
"Arlington, VA",10
"Arlington, VT",1
"Arlington, WA",19112
"Arlington, WI",808
"Arlington Height, IL",2
"Armada, MI",1740
"Armagh, PA",117
"Armbrust, PA",1
"Armington, IL",333
"Arminto, WY",1
"Armona, CA",1
"Armonk, NY",1
"Armorel, AR",1
"Armour, SD",678
"Armstrong, IA",885
"Armstrong, IL",1
"Armstrong, MO",285
"Armstrong, TX",1
"Armstrong Creek, WI",1
"Armstrong Mills, OH",1
"Armuchee, GA",1
"Arnaudville, LA",1069
"Arnegard, ND",153
"Arnett, WV",1
"Arnold, KS",1
"Arnold, MD",1
"Arnold, MO",21319
"Arnold, NE",578
"Arnold, PA",4939
"Arnolds Park, IA",1256
"Arnoldsburg, WV",1
"Arnoldsville, GA",355
"Arock, OR",1
"Aroda, VA",1
"Aroma Park, IL",704
"Aromas, CA",1
"Arona, PA",347
"Arp, TX",1002
"Arpin, WI",320
"Arrey, NM",1
"Arriba, CO",201
"Arrington, TN",1
"Arrowsmith, IL",291
"Arroyo Hondo, NM",1
"Arroyo Seco, NM",1
"Arsenal, PA",1
"Art, TX",1
"Artas, SD",8
"Artemas, PA",1
"Artemus, KY",1
"Artesia, NM",12232
"Arthur, IA",203
"Arthur, IL",2268
"Arthur, ND",363
"Arthur, NE",119
"Arthur, WV",1
"Arthur City, TX",1
"Artie, WV",1
"Arundel, ME",1
"Arvada, CO",117453
"Arvada, WY",1
"Arvilla, ND",1
"Arvin, CA",21086
"Arvonia, VA",1
"Ary, KY",1
"Asbury, MO",207
"Asbury, WV",1
"Asco, WV",1
"Ash, NC",1
"Ash Fork, AZ",1
"Ash Grove, MO",1450
"Ashaway, RI",1
"Ashburn, GA",3737
"Ashburn, MO",1
"Ashburn, VA",1
"Ashburnham, MA",1
"Ashby, MA",1
"Ashby, MN",436
"Ashby, NE",1
"Ashcamp, KY",1
"Ashdown, AR",4472
"Asher, OK",417
"Asherton, TX",1118
"Asheville, NC",89121
"Ashfield, MA",1
"Ashford, AL",2149
"Ashford, WA",1
"Ashford, WV",1
"Ashkum, IL",727
"Ashland, AL",1971
"Ashland, KS",807
"Ashland, KY",21038
"Ashland, MA",1
"Ashland, ME",1
"Ashland, MO",3876
"Ashland, MT",1
"Ashland, NE",2566
"Ashland, NH",1
"Ashland, NY",1
"Ashland, OH",20489
"Ashland, OR",21639
"Ashland, PA",2711
"Ashland, VA",7649
"Ashland City, TN",4641
"Ashley, IL",501
"Ashley, IN",971
"Ashley, MI",553
"Ashley, ND",699
"Ashley, OH",1500
"Ashley, PA",2705
"Ashley Falls, MA",1
"Ashmore, IL",762
"Ashtabula, OH",18311
"Ashton, IA",423
"Ashton, ID",1055
"Ashton, IL",908
"Ashton, MD",1
"Ashton, NE",189
"Ashton, WV",1
"Ashuelot, NH",1
"Ashville, AL",2275
"Ashville, NY",1
"Ashville, OH",4194
"Ashville, PA",217
"Ashwaubenon, WI",17274
"Ashwood, OR",1
"Askew, MS",1
"Askov, MN",347
"Asotin, WA",1295
"Aspen, CO",6871
"Aspen Hill, MD",1
"Aspermont, TX",879
"Aspers, PA",1
"Aspinwall, IA",39
"Aspinwall, PA",2737
"Assaria, KS",407
"Assawoman, VA",1
"Assonet, MA",1
"Assumption, IL",1104
"Astatula, FL",1955
"Aston, PA",1
"Astor, FL",1
"Astoria, IL",1081
"Astoria, NY",5
"Astoria, OR",9802
"Astoria, SD",135
"Atalissa, IA",306
"Atascadero, CA",30330
"Atascosa, TX",1
"Atchison, KS",10679
"Atglen, PA",1402
"Athelstane, WI",1
"Athena, OR",1136
"Athens, AL",25393
"Athens, GA",123371
"Athens, LA",231
"Athens, ME",1
"Athens, MI",1005
"Athens, NY",1609
"Athens, OH",25341
"Athens, PA",3219
"Athens, TN",13748
"Athens, TX",12811
"Athens, WV",940
"Atherton, CA",7207
"Athol, ID",741
"Athol, KS",41
"Athol, NY",1
"Athol, SD",1
"Atkins, AR",3059
"Atkins, IA",1846
"Atkins, VA",1
"Atkinson, IL",945
"Atkinson, NC",337
"Atkinson, NE",1249
"Atkinson, NH",1
"Atlanta, GA",472522
"Atlanta, ID",1
"Atlanta, IL",1648
"Atlanta, IN",738
"Atlanta, KS",192
"Atlanta, LA",152
"Atlanta, MI",1
"Atlanta, MO",371
"Atlanta, NE",131
"Atlanta, NY",1
"Atlanta, TX",5638
"Atlantic, IA",6659
"Atlantic, NC",1
"Atlantic, PA",1
"Atlantic Beach, FL",13452
"Atlantic Beach, NY",1908
"Atlantic City, NJ",38735
"Atlantic Highlan, NJ",1
"Atlantic Mine, MI",1
"Atmautluak, AK",1
"Atmore, AL",10022
"Atoka, OK",3064
